Energy :  -2.7909E+04

 sample of final configuration

      i       x(i)            y(i)            z(i)           fx(i)           fy(i)           fz(i)
     69 -7.79830000E+00 -8.37980000E+00 -2.17780000E+00  1.00534704E+04 -4.10973737E+03 -3.76754024E+04
     70 -4.82330000E+00 -6.45710000E+00  6.35150000E+00  3.95635852E+04 -1.07495855E+04 -1.24119364E+04
     71 -4.68690000E+00 -7.32620000E+00  5.87600000E+00 -6.90556124E+03  2.47583339E+04  1.52425396E+04
     72 -3.94750000E+00 -5.98200000E+00  6.43630000E+00 -3.43071864E+04 -1.67669330E+04 -3.82360912E+03
     73  4.12950000E+00 -7.46480000E+00  2.00810000E+00 -7.37645984E+03  2.83301234E+04 -3.18706253E+04
     74  4.74990000E+00 -6.80020000E+00  1.59170000E+00 -1.91808672E+04 -2.24868097E+04  1.42406501E+04
     75  3.23130000E+00 -7.40090000E+00  1.57330000E+00  2.75902988E+04 -3.26427014E+03  1.79326909E+04
     76 -1.65280000E+00 -2.79680000E-02  3.32500000E+00  9.32559512E+03  1.12794871E+04  3.22562054E+04
     77 -2.11570000E+00 -8.66490000E-02  4.20940000E+00  1.62709567E+04  2.60202341E+03 -2.51960125E+04
     78 -7.58690000E-01  4.03680000E-01  3.44420000E+00 -3.01650811E+04 -1.33680387E+04 -6.61257712E+03
     79 -4.58600000E+00  3.08210000E+00  6.43390000E+00 -4.12704991E+04 -1.08950291E+04 -7.40224947E+03
     80 -5.27090000E+00  3.57430000E+00  5.89660000E+00  2.72068204E+04 -1.61680433E+04  1.83081052E+04
     81 -4.98790000E+00  2.24180000E+00  6.79780000E+00  1.87906354E+04  2.97570594E+04 -1.19424150E+04
     82 -4.07620000E+00  5.40280000E+00  4.83410000E-01  4.02660171E+03  2.27679651E+04  3.17515871E+04
     83 -4.58150000E+00  6.26060000E+00  5.77700000E-01  1.37456228E+04 -2.90121472E+04 -4.29122308E+03
     84 -3.52450000E+00  5.24860000E+00  1.30300000E+00 -1.83550604E+04  3.16303130E+03 -2.53821322E+04
     85 -4.38230000E+00 -6.13830000E+00 -7.21710000E+00 -6.45578179E+03  2.73996122E+04 -3.53761958E+04
     86 -4.11530000E+00 -6.22930000E+00 -8.17650000E+00 -9.74759540E+03  2.86902479E+02  3.69401139E+04
     87 -4.91830000E+00 -5.30260000E+00 -7.09750000E+00  1.61458190E+04 -2.73276903E+04 -2.85461193E+02
     88 -2.40310000E+00  2.67740000E+00  4.63280000E+00 -4.20499728E+04  5.90019047E+03  6.56552338E+03
     89 -2.82760000E+00  3.14360000E+00  5.40890000E+00  1.53764855E+04 -1.81338442E+04 -2.57225280E+04
     90 -3.10690000E+00  2.20780000E+00  4.09980000E+00  2.61526512E+04  1.41343933E+04  1.83957630E+04
     91  1.53620000E+00  1.99450000E+00 -2.45920000E+00 -1.56275791E+04  3.19536768E+04  2.10681558E+04
     92  1.76660000E+00  2.96300000E+00 -2.55370000E+00 -5.97941296E+03 -3.52742007E+04 -6.12662653E+01
     93  8.05880000E-01  1.88940000E+00 -1.78420000E+00  2.57543452E+04 -6.97931364E+02 -2.50508900E+04
     94 -2.59790000E+00  4.75810000E+00  2.85500000E+00  3.87811401E+04 -7.34114473E+03  6.10996215E+03
     95 -2.30190000E+00  3.98220000E+00  3.41200000E+00 -1.16580506E+04  2.39786865E+04 -1.66286319E+04
     96 -1.80140000E+00  5.30030000E+00  2.58760000E+00 -2.92450349E+04 -1.76697749E+04  1.13064831E+04
     97 -1.16110000E+00 -7.50380000E+00 -2.48530000E+00 -3.31612754E+04 -2.36174484E+04  5.40352239E+03
     98 -1.41350000E+00 -8.31600000E+00 -3.01110000E+00  1.09791324E+04  2.71001888E+04  1.57739619E+04
     99 -1.79270000E+00 -7.39340000E+00 -1.71780000E+00  1.84199294E+04  1.49323164E+03 -2.30830045E+04
    100  2.70880000E+00  7.07330000E+00  2.08590000E+00  4.24326649E+04 -1.43603224E+04  7.47421899E+03
    101  3.04950000E+00  6.15900000E+00  2.30500000E+00 -1.20382437E+04  2.91215621E+04 -7.13866125E+03
    102  3.46260000E+00  7.72920000E+00  2.12750000E+00 -2.93902657E+04 -1.85498915E+04  5.04100795E+02
    103  5.69740000E+00 -5.33250000E-01  2.26670000E+00 -4.57400905E+04  9.05983363E+03 -1.51164547E+03
    104  5.27970000E+00  3.46720000E-01  2.49290000E+00  1.73606533E+04 -3.16503383E+04 -7.28265569E+03
    105  4.98820000E+00 -1.17320000E+00  1.97090000E+00  2.58574816E+04  2.32319198E+04  9.45189358E+03
    106  3.67660000E+00  4.10500000E+00 -3.38610000E+00 -7.03848419E+03  5.80813820E+03 -3.81152700E+04
    107  3.36870000E+00  4.97670000E+00 -3.76740000E+00  1.09340887E+04 -2.68589699E+04  1.47884082E+04
    108  3.77590000E+00  3.43530000E+00 -4.12210000E+00 -2.40464681E+03  2.25023926E+04  2.53577571E+04
    109 -2.16300000E+00 -7.41130000E+00 -6.42220000E+00 -2.01349729E+04  3.27996332E+04 -1.58726810E+04
    110 -3.15070000E+00 -7.31080000E+00 -6.54190000E+00  3.18857008E+04 -2.10232043E+03  3.67680003E+03
    111 -1.69860000E+00 -6.60530000E+00 -6.78910000E+00 -1.38975448E+04 -2.92971265E+04  1.34280418E+04
    112 -3.10580000E+00 -6.72420000E+00 -9.60020000E-01 -2.06308436E+04  4.82010850E+03  3.22367296E+04
    113 -2.83160000E+00 -6.16200000E+00 -1.79770000E-01 -7.61543721E+03 -1.81360025E+04 -2.92042582E+04
    114 -4.03570000E+00 -7.06310000E+00 -8.16870000E-01  2.90074924E+04  1.21172353E+04 -5.04929838E+03
    115  8.34080000E+00 -6.29530000E+00  4.14430000E+00 -2.23777670E+04  1.97824124E+04  2.79110611E+04
    116  7.34230000E+00 -6.24260000E+00  4.12900000E+00  3.31771242E+04 -4.65345820E+03 -1.75860363E+03
    117 -8.50570000E+00 -5.76130000E+00  4.91350000E+00 -9.85088737E+03 -2.07067419E+04 -2.82329527E+04
    118  7.43000000E+00 -3.00880000E+00  2.85920000E+00 -1.74590114E+04  3.18784942E+04 -2.15623137E+04
    119  7.79430000E+00 -2.60860000E+00  2.01820000E+00 -1.17927453E+04 -1.46712695E+04  2.59323027E+04
    120  6.54650000E+00 -2.59160000E+00  3.07190000E+00  3.28178886E+04 -1.57614079E+04 -6.47580186E+03
    121 -2.46690000E+00  3.13660000E+00 -3.16110000E+00  3.27492338E+04  1.46050743E+04  2.31626640E+04
    122 -2.57830000E+00  3.15200000E+00 -2.16740000E+00  1.44799265E+02 -2.26921836E+03 -3.08022203E+04
    123 -1.54970000E+00  3.45580000E+00 -3.39920000E+00 -3.27768961E+04 -1.21300934E+04  7.34328020E+03
