Energy : -2.7909E+04

sample of starting configuration

      i       x(i)            y(i)            z(i)           fx(i)           fy(i)           fz(i)
    137  1.68070000E+00 -3.16430000E+00 -4.89970000E-01  4.17030000E+02 -7.63490000E+03 -3.87410000E+03
    138  2.33810000E+00 -1.74950000E+00 -9.73520000E-01  1.77690000E+03  1.56160000E+03 -4.93160000E+03
    139 -2.99370000E+00  7.21640000E+00  8.09610000E+00 -1.63320000E+04  2.32170000E+03  5.65430000E+03
    140 -2.58950000E+00  6.31800000E+00  7.92400000E+00  3.10920000E+03 -7.03200000E+03 -1.39040000E+03
    141 -2.29810000E+00  7.92430000E+00  7.97390000E+00  8.27900000E+03  3.17600000E+03 -4.29970000E+03
    142 -4.90300000E+00 -6.12520000E+00 -3.44010000E+00 -6.38720000E+03 -6.14420000E+02  3.11900000E+03
    143 -4.07470000E+00 -6.56640000E+00 -3.09470000E+00  3.42030000E+03 -1.01950000E+03  3.92010000E+02
    144 -4.66190000E+00 -5.49130000E+00 -4.17500000E+00  5.81540000E+03  2.83560000E+03 -4.87010000E+03
    145  7.94970000E+00 -1.91100000E+00  2.92310000E-01  3.35920000E+03 -3.12900000E+03  2.95660000E+03
    146  7.12110000E+00 -1.60560000E+00 -1.76910000E-01 -7.42880000E+03  2.06380000E+03 -1.18090000E+03
    147  8.54990000E+00 -1.12750000E+00  4.53690000E-01  6.30030000E+02  5.23740000E+03  8.71540000E+02
    148 -5.17980000E+00 -6.05060000E+00  2.62980000E+00  9.15430000E+02  5.93320000E+03 -5.01190000E+03
    149 -5.72630000E+00 -6.87560000E+00  2.77380000E+00 -3.14030000E+03 -4.64280000E+03  3.75380000E+03
    150 -4.49170000E+00 -5.97580000E+00  3.35160000E+00  7.73060000E+02 -1.39420000E+03  1.81890000E+03
    151 -7.27210000E+00 -8.06370000E+00  3.07660000E+00  1.50660000E+04 -8.46120000E+02 -1.47470000E+04
    152 -8.02150000E+00 -7.48270000E+00  3.39410000E+00 -7.58770000E+03  6.57800000E+03  6.60720000E+03
    153 -7.34270000E+00  8.23320000E+00  3.50610000E+00 -2.00880000E+03 -5.89660000E+03  6.28220000E+03
    154 -6.93480000E+00  4.83820000E+00 -3.64380000E+00 -4.42550000E+03 -1.10700000E+03 -1.38410000E+04
    155 -6.17190000E+00  5.11990000E+00 -3.06180000E+00  7.02890000E+03  2.98900000E+03  5.87050000E+03
    156 -7.55770000E+00  4.25750000E+00 -3.11970000E+00 -2.10410000E+03 -2.08840000E+03  6.95450000E+03
    157  4.57020000E+00  2.08410000E+00  3.75930000E+00  2.41060000E+03  2.26540000E+03 -1.41340000E+04
    158  5.50910000E+00  2.25240000E+00  4.05960000E+00  4.24390000E+03 -2.54040000E+01  4.11400000E+03
